unique_staying_id,study_id,location_id,staying_time_start,staying_time_end,staying_day_of_week,staying_time_of_day,staying_count_surveyor,staying_conditions,staying_microclimate,staying_temperature,staying_row_total,staying_group_size,staying_race_ethnicity,staying_gender,staying_age,standing,leaning,sitting_formal_all,sitting_formal_public,sitting_formal_public_fixed_bench,sitting_formal_public_fixed_wall_with_seats,sitting_formal_public_movable_seat,sitting_formal_commercial,sitting_formal_private,sitting_informal,lying,staying_mobility_assist,commercial_all,commercial_selling,commercial_selling_informal,commercial_buying,commercial_observing,eating_drinking,talking_to_others,smoking,cultural,recreation_active,recreation_passive,waiting_transportation,working_civic,disruptive,disruptive_aggressive,disruptive_intoxicated,living_public,using_electronics,soliciting,staying_covid_mask,staying_covid_social_distance,taking_care_child,feeding_child,staying_notes
1,2018_Seattle_Citywide,MAP1,08/02/2018 08:20:00 AM,08/02/2018 08:40:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,1,3,L,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
2,2018_Seattle_Citywide,MAP1,08/02/2018 08:20:00 AM,08/02/2018 08:40:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,1,3,L,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
3,2018_Seattle_Citywide,MAP1,08/02/2018 08:20:00 AM,08/02/2018 08:40:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,1,3,U,Other_Unsure,0-4,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
4,2018_Seattle_Citywide,MAP1,08/02/2018 08:20:00 AM,08/02/2018 08:40:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,1,1,W,Male,25-44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
5,2018_Seattle_Citywide,MAP1,08/02/2018 08:20:00 AM,08/02/2018 08:40:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,1,2,W,Male,25-44,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
6,2018_Seattle_Citywide,MAP1,08/02/2018 08:20:00 AM,08/02/2018 08:40:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,1,2,W,Other_Unsure,0-4,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
7,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,1,W,Male,45-64,,,1,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,1,,,,,,
8,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,1,W,Female,65+,,,1,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,
9,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,L,Male,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
10,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,W,Male,25-44,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
11,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,W,Male,25-44,,,1,1,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,
12,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,W,Female,25-44,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
13,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,1,W,Female,25-44,1,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,
14,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,W,Male,25-44,,,1,1,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,
15,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,W,Female,25-44,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,1,,,,,,
16,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,1,W,Female,25-44,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
17,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,1,W,Female,25-44,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,W,Female,65+,,,1,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,1,1,,,,,,
19,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,W,Male,25-44,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
20,2018_Seattle_Citywide,MAP1,08/02/2018 04:22:00 PM,08/02/2018 04:42:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,67,1,2,W,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
21,2018_Seattle_Citywide,MAP1,08/02/2018 04:22:00 PM,08/02/2018 04:42:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,67,1,2,W,Female,25-44,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,1,,,,,,
22,2018_Seattle_Citywide,MAP1,08/02/2018 04:22:00 PM,08/02/2018 04:42:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,67,1,1,W,Male,45-64,,,1,1,,,,,,,,,1,,,1,1,1,,,,,1,,,,,,,,,,,,,
23,2018_Seattle_Citywide,MAP1,08/02/2018 04:22:00 PM,08/02/2018 04:42:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,67,1,1,W,Male,45-64,1,,,,,,,,,,,,1,,,1,,1,,,,,1,,,,,,,,,,,,,
24,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,4,W,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
25,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,4,W,Male,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
26,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,4,W,Male,0-4,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
27,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,4,W,Other_Unsure,0-4,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
28,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,1,W,Female,45-64,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
29,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,1,W,Male,25-44,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
30,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,2,W,Male,15-24,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
31,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,2,W,Female,15-24,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
32,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,1,W,Male,25-44,1,,,,,,,,,,,,1,,,1,,1,,,,1,,,,,,,,,,,,,,
33,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,1,W,Male,45-64,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,
34,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,4,W,Male,65+,,,1,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,
35,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,4,W,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
36,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,4,W,Male,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,1,,,,,,
37,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,4,W,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
38,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,2,W,Female,65+,,,1,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,1,,,,,,
39,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,2,W,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
40,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,2,W,Female,65+,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
41,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,2,W,Female,65+,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
42,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,2,W,Male,25-44,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
43,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,2,W,Male,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
44,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,1,W,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
45,2018_Seattle_Citywide,MAP1,08/03/2018 04:37:00 PM,08/03/2018 04:57:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,73,1,6,A,Male,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,1,,,,,,
46,2018_Seattle_Citywide,MAP1,08/03/2018 04:37:00 PM,08/03/2018 04:57:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,73,1,6,A,Female,5-14,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
47,2018_Seattle_Citywide,MAP1,08/03/2018 04:37:00 PM,08/03/2018 04:57:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,73,1,6,A,Female,5-14,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,
48,2018_Seattle_Citywide,MAP1,08/03/2018 04:37:00 PM,08/03/2018 04:57:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,73,1,6,A,Female,25-44,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
49,2018_Seattle_Citywide,MAP1,08/03/2018 04:37:00 PM,08/03/2018 04:57:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,73,1,6,A,Female,45-64,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
50,2018_Seattle_Citywide,MAP1,08/03/2018 04:37:00 PM,08/03/2018 04:57:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,73,1,6,A,Female,45-64,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,
51,2018_Seattle_Citywide,MAP1,08/03/2018 04:37:00 PM,08/03/2018 04:57:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,73,1,1,W,Female,65+,,,,,,,,,,1,,1,1,,,,1,,,,,,1,,,,,,,,,,,,,
52,2018_Seattle_Citywide,MAP1,08/03/2018 04:37:00 PM,08/03/2018 04:57:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,73,1,1,W,Female,45-64,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
53,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,2,M,Female,15-24,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
54,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,2,W,Female,15-24,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,1,,,,,,
55,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,1,W,Male,25-44,,,1,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,1,,,,,,
56,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,2,W,Male,65+,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
57,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,2,W,Female,65+,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
58,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,4,W,Male,25-44,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
59,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,4,W,Female,25-44,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
60,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,4,W,Female,0-4,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
61,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,4,W,Male,0-4,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
62,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,2,W,Male,25-44,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,1,,,,,,
63,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,2,W,Male,25-44,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,1,,,,,,
64,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,2,W,Female,45-64,1,,,,,,,,,,,,1,,,1,1,,1,,,1,,,,,,,,,,,,,,
65,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,2,W,Female,5-14,1,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,
66,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,2,W,Female,25-44,,,1,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,1,,,,,,
67,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,2,W,Male,25-44,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
68,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,1,W,Female,5-14,,,1,1,,,,,,,,,1,,,,1,,1,,,,1,,,,,,,,,,,,,
69,2018_Seattle_Citywide,MAP1,08/11/2018 12:41:00 PM,08/11/2018 01:01:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,1,W,Female,25-44,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
70,2018_Seattle_Citywide,MAP1,08/11/2018 04:30:00 PM,08/11/2018 04:50:00 PM,Weekend,Evening,UD4H,,Sun-Shaded,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2018_Seattle_Citywide,WAL3,08/23/2018 09:14:00 AM,08/23/2018 09:34:00 AM,Weekday,Morning,UD4H,,Light Rain,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2018_Seattle_Citywide,TUJ1,08/01/2018 08:35:00 AM,08/01/2018 08:55:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,61,1,1,W,Male,25-44,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
73,2018_Seattle_Citywide,TUJ1,08/01/2018 08:35:00 AM,08/01/2018 08:55:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,61,1,2,B,Male,15-24,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
74,2018_Seattle_Citywide,TUJ1,08/01/2018 08:35:00 AM,08/01/2018 08:55:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,61,1,2,B,Male,15-24,1,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,
75,2018_Seattle_Citywide,TUJ1,08/01/2018 08:35:00 AM,08/01/2018 08:55:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,61,1,1,L,Female,45-64,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
76,2018_Seattle_Citywide,TUJ1,08/01/2018 08:35:00 AM,08/01/2018 08:55:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,61,1,1,W,Female,25-44,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
77,2018_Seattle_Citywide,TUJ1,08/01/2018 08:35:00 AM,08/01/2018 08:55:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,61,1,1,W,Male,25-44,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
78,2018_Seattle_Citywide,TUJ1,08/01/2018 08:35:00 AM,08/01/2018 08:55:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,61,1,1,B,Female,25-44,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
79,2018_Seattle_Citywide,TUJ1,08/01/2018 08:35:00 AM,08/01/2018 08:55:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,61,1,1,W,Male,25-44,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
80,2018_Seattle_Citywide,TUJ1,08/01/2018 12:37:00 PM,08/01/2018 12:57:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,68,1,1,W,Male,45-64,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
81,2018_Seattle_Citywide,TUJ1,08/01/2018 12:37:00 PM,08/01/2018 12:57:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,68,1,1,B,Male,25-44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
82,2018_Seattle_Citywide,TUJ1,08/01/2018 12:37:00 PM,08/01/2018 12:57:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,68,1,1,L,Female,25-44,,,1,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,
83,2018_Seattle_Citywide,TUJ1,08/01/2018 12:37:00 PM,08/01/2018 12:57:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,68,1,1,W,Male,15-24,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
84,2018_Seattle_Citywide,TUJ1,08/01/2018 12:37:00 PM,08/01/2018 12:57:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,68,1,1,W,Male,25-44,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
85,2018_Seattle_Citywide,TUJ1,08/01/2018 04:52:00 PM,08/01/2018 05:12:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,77,1,3,W,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
86,2018_Seattle_Citywide,TUJ1,08/01/2018 04:52:00 PM,08/01/2018 05:12:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,77,1,3,W,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
87,2018_Seattle_Citywide,TUJ1,08/01/2018 04:52:00 PM,08/01/2018 05:12:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,77,1,3,W,Female,5-14,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
88,2018_Seattle_Citywide,TUJ1,08/01/2018 04:52:00 PM,08/01/2018 05:12:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,77,1,2,A,Male,25-44,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
89,2018_Seattle_Citywide,TUJ1,08/01/2018 04:52:00 PM,08/01/2018 05:12:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,77,1,2,A,Female,5-14,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
90,2018_Seattle_Citywide,TUJ1,08/01/2018 04:52:00 PM,08/01/2018 05:12:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,77,1,2,W,Female,45-64,1,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,
91,2018_Seattle_Citywide,TUJ1,08/01/2018 04:52:00 PM,08/01/2018 05:12:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,77,1,2,W,Male,5-14,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
92,2018_Seattle_Citywide,TUJ1,08/01/2018 04:52:00 PM,08/01/2018 05:12:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,77,1,2,W,Male,25-44,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
93,2018_Seattle_Citywide,TUJ1,08/01/2018 04:52:00 PM,08/01/2018 05:12:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,77,1,2,W,Female,25-44,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
94,2018_Seattle_Citywide,TUJ1,08/03/2018 08:40:00 AM,08/03/2018 09:00:00 AM,Weekday,Morning,UD4H,,Light Rain,59,1,1,W,Male,25-44,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
95,2018_Seattle_Citywide,TUJ1,08/03/2018 08:40:00 AM,08/03/2018 09:00:00 AM,Weekday,Morning,UD4H,,Light Rain,59,1,1,L,Male,25-44,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
96,2018_Seattle_Citywide,TUJ1,08/03/2018 08:40:00 AM,08/03/2018 09:00:00 AM,Weekday,Morning,UD4H,,Light Rain,59,1,1,B,Female,25-44,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
97,2018_Seattle_Citywide,TUJ1,08/03/2018 12:25:00 PM,08/03/2018 12:45:00 PM,Weekday,Midday,UD4H,,Sun-Exposed,67,1,2,B,Female,25-44,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,
98,2018_Seattle_Citywide,TUJ1,08/03/2018 12:25:00 PM,08/03/2018 12:45:00 PM,Weekday,Midday,UD4H,,Sun-Exposed,67,1,2,W,Female,25-44,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,
99,2018_Seattle_Citywide,TUJ1,08/03/2018 12:25:00 PM,08/03/2018 12:45:00 PM,Weekday,Midday,UD4H,,Sun-Exposed,67,1,1,W,Male,25-44,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
100,2018_Seattle_Citywide,TUJ1,08/03/2018 12:25:00 PM,08/03/2018 12:45:00 PM,Weekday,Midday,UD4H,,Sun-Exposed,67,1,1,W,Female,65+,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
101,2018_Seattle_Citywide,TUJ1,08/03/2018 12:25:00 PM,08/03/2018 12:45:00 PM,Weekday,Midday,UD4H,,Sun-Exposed,67,1,1,W,Male,25-44,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
102,2018_Seattle_Citywide,TUJ1,08/03/2018 04:27:00 PM,08/03/2018 04:47:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,74,1,1,W,Female,15-24,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
103,2018_Seattle_Citywide,TUJ1,08/04/2018 12:38:00 PM,08/04/2018 12:58:00 PM,Weekend,Midday,UD4H,,Sun-Exposed,69,1,1,W,Female,45-64,,1,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,
