unique_moving_id,study_id,location_id,moving_time_start,moving_time_end,moving_day_of_week,moving_time_of_day,moving_count_surveyor,moving_conditions,moving_microclimate,moving_temperature,moving_row_id,moving_row_total,moving_male,moving_male_mobility_assist,moving_female,moving_female_mobility_assist,moving_other_unsure,moving_other_unsure_mobility_assist,moving_total_mobility_assist,moving_groupsize_1,moving_groupsize_2,moving_groupsize_3,moving_groupsize_4,moving_groupsize_5,moving_groupsize_6,moving_groupsize_7,moving_groupsize_8,moving_groupsize_9,moving_groupsize_10+,moving_0-4,moving_5-14,moving_15-24,moving_25-44,moving_45-64,moving_65+,moving_25_64,moving_pedestrian,moving_micromobility,moving_bicycling,moving_motorized,moving_supported,moving_notes
1,2018_Seattle_Citywide,MAP1,08/02/2018 08:01:00 AM,08/02/2018 08:11:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,1,10,,,,,,,,6,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2,2018_Seattle_Citywide,MAP1,08/02/2018 08:11:00 AM,08/02/2018 08:21:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,2,21,12,,9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
3,2018_Seattle_Citywide,MAP1,08/02/2018 12:00:00 PM,08/02/2018 12:10:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,38,,,,,,,,26,3,2,0,0,0,0,0,0,0,,,,,,,,,,,,,
4,2018_Seattle_Citywide,MAP1,08/02/2018 12:10:00 PM,08/02/2018 12:20:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,2,32,10,,22,,0,,1,,,,,,,,,,,,,,,,,,,,,,,
5,2018_Seattle_Citywide,MAP1,08/02/2018 04:00:00 PM,08/02/2018 04:10:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,67,1,38,,,,,,,,18,4,4,0,0,0,0,0,0,0,,,,,,,,,,,,,
6,2018_Seattle_Citywide,MAP1,08/02/2018 04:10:00 PM,08/02/2018 04:20:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,67,2,39,16,,22,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
7,2018_Seattle_Citywide,MAP1,08/03/2018 08:00:00 AM,08/03/2018 08:10:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,19,,,,,,,,8,2,1,1,0,0,0,0,0,0,,,,,,,,,,,,,
8,2018_Seattle_Citywide,MAP1,08/03/2018 08:11:00 AM,08/03/2018 08:21:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,2,19,10,,8,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
9,2018_Seattle_Citywide,MAP1,08/03/2018 12:10:00 PM,08/03/2018 12:20:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,29,,,,,,,,17,4,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
10,2018_Seattle_Citywide,MAP1,08/03/2018 12:20:00 PM,08/03/2018 12:30:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,2,27,10,,15,,2,,1,,,,,,,,,,,,,,,,,,,,,,,
11,2018_Seattle_Citywide,MAP1,08/03/2018 04:16:00 PM,08/03/2018 04:26:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,73,1,37,,,,,,,,12,8,1,0,0,1,0,0,0,0,,,,,,,,,,,,,
12,2018_Seattle_Citywide,MAP1,08/03/2018 04:27:00 PM,08/03/2018 04:37:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,73,2,34,11,,22,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
13,2018_Seattle_Citywide,MAP1,08/11/2018 12:21:00 PM,08/11/2018 12:31:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,1,46,,,,,,,,10,11,2,2,0,0,0,0,0,0,,,,,,,,,,,,,
14,2018_Seattle_Citywide,MAP1,08/11/2018 12:31:00 PM,08/11/2018 12:41:00 PM,Weekend,Midday,UD4H,,Heavy Clouds,71,2,43,16,,25,,2,,1,,,,,,,,,,,,,,,,,,,,,,,
15,2018_Seattle_Citywide,MAP1,08/11/2018 04:10:00 PM,08/11/2018 04:20:00 PM,Weekend,Evening,UD4H,,Sun-Shaded,72,1,14,,,,,,,,6,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
16,2018_Seattle_Citywide,MAP1,08/11/2018 04:20:00 PM,08/11/2018 04:30:00 PM,Weekend,Evening,UD4H,,Sun-Shaded,72,2,16,10,,6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
17,2018_Seattle_Citywide,TUJ1,08/01/2018 08:09:00 AM,08/01/2018 08:19:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,61,1,11,,,,,,,,11,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
18,2018_Seattle_Citywide,TUJ1,08/01/2018 08:20:00 AM,08/01/2018 08:30:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,61,2,16,6,,10,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
19,2018_Seattle_Citywide,TUJ1,08/01/2018 12:15:00 PM,08/01/2018 12:25:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,68,1,3,,,,,,,,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
20,2018_Seattle_Citywide,TUJ1,08/01/2018 12:25:00 PM,08/01/2018 12:35:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,68,2,7,5,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
21,2018_Seattle_Citywide,TUJ1,08/01/2018 04:30:00 PM,08/01/2018 04:40:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,77,1,12,,,,,,,,6,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
22,2018_Seattle_Citywide,TUJ1,08/01/2018 04:41:00 PM,08/01/2018 04:51:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,77,2,16,7,,8,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
23,2018_Seattle_Citywide,TUJ1,08/03/2018 08:20:00 AM,08/03/2018 08:30:00 AM,Weekday,Morning,UD4H,,Light Rain,59,1,8,,,,,,,,6,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
24,2018_Seattle_Citywide,TUJ1,08/03/2018 08:30:00 AM,08/03/2018 08:40:00 AM,Weekday,Morning,UD4H,,Light Rain,59,2,8,3,,5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
25,2018_Seattle_Citywide,TUJ1,08/03/2018 12:05:00 PM,08/03/2018 12:15:00 PM,Weekday,Midday,UD4H,,Sun-Exposed,67,1,4,,,,,,,,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
26,2018_Seattle_Citywide,TUJ1,08/03/2018 12:15:00 PM,08/03/2018 12:25:00 PM,Weekday,Midday,UD4H,,Sun-Exposed,67,2,8,6,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
27,2018_Seattle_Citywide,TUJ1,08/03/2018 04:06:00 PM,08/03/2018 04:16:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,74,1,5,,,,,,,,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
28,2018_Seattle_Citywide,TUJ1,08/03/2018 04:16:00 PM,08/03/2018 04:26:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,74,2,16,7,,9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
29,2018_Seattle_Citywide,TUJ1,08/04/2018 12:17:00 PM,08/04/2018 12:27:00 PM,Weekend,Midday,UD4H,,Sun-Exposed,69,1,11,,,,,,,,9,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
30,2018_Seattle_Citywide,TUJ1,08/04/2018 12:28:00 PM,08/04/2018 12:38:00 PM,Weekend,Midday,UD4H,,Sun-Exposed,69,2,6,2,,4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
31,2018_Seattle_Citywide,TUJ1,08/04/2018 03:48:00 PM,08/04/2018 03:58:00 PM,Weekend,Evening,UD4H,,Sun-Shaded,76,1,13,,,,,,,,8,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
32,2018_Seattle_Citywide,TUJ1,08/04/2018 03:58:00 PM,08/04/2018 04:08:00 PM,Weekend,Evening,UD4H,,Sun-Shaded,76,2,9,4,,5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
33,2018_Seattle_Citywide,CAP1,07/26/2018 08:08:00 AM,07/26/2018 08:18:00 AM,Weekday,Morning,UD4H,,Sun-Shaded,70,1,48,,,,,,,,46,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
34,2018_Seattle_Citywide,CAP1,07/26/2018 08:19:00 AM,07/26/2018 08:29:00 AM,Weekday,Morning,UD4H,,Sun-Shaded,70,2,39,27,,11,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
35,2018_Seattle_Citywide,CAP1,07/26/2018 12:03:00 PM,07/26/2018 12:13:00 PM,Weekday,Midday,UD4H,,Sun-Shaded,77,1,79,,,,,,,,63,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
36,2018_Seattle_Citywide,CAP1,07/26/2018 12:13:00 PM,07/26/2018 12:23:00 PM,Weekday,Midday,UD4H,,Sun-Shaded,77,2,78,56,,22,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
37,2018_Seattle_Citywide,CAP1,07/26/2018 04:07:00 PM,07/26/2018 04:17:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,86,1,108,,,,,,,,65,17,1,0,0,1,0,0,0,0,,,,,,,,,,,,,
38,2018_Seattle_Citywide,CAP1,07/26/2018 04:19:00 PM,07/26/2018 04:29:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,86,2,122,81,,41,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
39,2018_Seattle_Citywide,CAP1,07/27/2018 08:05:00 AM,07/27/2018 08:15:00 AM,Weekday,Morning,UD4H,,Sun-Shaded,66,1,43,,,,,,,,35,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
40,2018_Seattle_Citywide,CAP1,07/27/2018 08:15:00 AM,07/27/2018 08:25:00 AM,Weekday,Morning,UD4H,,Sun-Shaded,66,2,40,26,,14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
41,2018_Seattle_Citywide,CAP1,07/27/2018 12:01:00 PM,07/27/2018 12:11:00 PM,Weekday,Midday,UD4H,,Sun-Shaded,74,1,90,,,,,,,,62,9,2,1,0,0,0,0,0,0,,,,,,,,,,,,,
42,2018_Seattle_Citywide,CAP1,07/27/2018 12:12:00 PM,07/27/2018 12:22:00 PM,Weekday,Midday,UD4H,,Sun-Shaded,74,2,95,51,,43,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
43,2018_Seattle_Citywide,CAP1,07/27/2018 04:04:00 PM,07/27/2018 04:14:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,82,1,121,,,,,,,,87,14,2,0,0,0,0,0,0,0,,,,,,,,,,,,,
44,2018_Seattle_Citywide,CAP1,07/27/2018 04:15:00 PM,07/27/2018 04:25:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,82,2,129,74,,55,,0,,3,,,,,,,,,,,,,,,,,,,,,,,
45,2018_Seattle_Citywide,CAP1,07/28/2018 12:11:00 PM,07/28/2018 12:21:00 PM,Weekend,Midday,UD4H,,Sun-Shaded,73,1,123,,,,,,,,69,21,4,0,0,0,0,0,0,0,,,,,,,,,,,,,
46,2018_Seattle_Citywide,CAP1,07/28/2018 12:22:00 PM,07/28/2018 12:32:00 PM,Weekend,Midday,UD4H,,Sun-Shaded,73,2,109,61,,48,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
47,2018_Seattle_Citywide,CAP1,07/28/2018 04:03:00 PM,07/28/2018 04:13:00 PM,Weekend,Evening,UD4H,,Sun-Shaded,81,1,145,,,,,,,,63,21,2,2,4,1,0,0,0,0,,,,,,,,,,,,,
48,2018_Seattle_Citywide,CAP1,07/28/2018 04:14:00 PM,07/28/2018 04:24:00 PM,Weekend,Evening,UD4H,,Sun-Shaded,81,2,127,80,,47,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
49,2018_Seattle_Citywide,GEO1,09/06/2018 08:00:00 AM,09/06/2018 08:10:00 AM,Weekday,Morning,UD4H,,Sun-Shaded,60,1,9,,,,,,,,9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
50,2018_Seattle_Citywide,GEO1,09/06/2018 08:10:00 AM,09/06/2018 08:20:00 AM,Weekday,Morning,UD4H,,Sun-Shaded,60,2,5,4,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
51,2018_Seattle_Citywide,GEO1,09/06/2018 12:00:00 PM,09/06/2018 12:10:00 PM,Weekday,Midday,UD4H,,Sun-Shaded,71,1,14,,,,,,,,7,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
52,2018_Seattle_Citywide,GEO1,09/06/2018 12:10:00 PM,09/06/2018 12:20:00 PM,Weekday,Midday,UD4H,,Sun-Shaded,71,2,19,12,,7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
53,2018_Seattle_Citywide,GEO1,09/06/2018 04:00:00 PM,09/06/2018 04:10:00 PM,Weekday,Evening,UD4H,,Sun-Exposed,84,1,5,,,,,,,,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
54,2018_Seattle_Citywide,GEO1,09/06/2018 04:10:00 PM,09/06/2018 04:20:00 PM,Weekday,Evening,UD4H,,Sun-Exposed,84,2,3,2,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
55,2018_Seattle_Citywide,GEO1,09/08/2018 12:30:00 PM,09/08/2018 12:40:00 PM,Weekend,Midday,UD4H,event:cultural_communal,Heavy Clouds,66,1,17,,,,,,,,8,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
56,2018_Seattle_Citywide,GEO1,09/08/2018 12:40:00 PM,09/08/2018 12:50:00 PM,Weekend,Midday,UD4H,event:cultural_communal,Heavy Clouds,66,2,21,9,,12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
57,2018_Seattle_Citywide,GEO1,09/08/2018 04:00:00 PM,09/08/2018 04:10:00 PM,Weekend,Evening,UD4H,event:cultural_communal,Light Clouds,69,1,16,,,,,,,,6,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
58,2018_Seattle_Citywide,GEO1,09/08/2018 04:10:00 PM,09/08/2018 04:20:00 PM,Weekend,Evening,UD4H,event:cultural_communal,Light Clouds,69,2,16,11,,5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
59,2018_Seattle_Citywide,GEO1,09/13/2018 08:25:00 AM,09/13/2018 08:35:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,1,8,,,,,,,,6,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
60,2018_Seattle_Citywide,GEO1,09/13/2018 08:35:00 AM,09/13/2018 08:45:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,2,7,4,,3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
61,2018_Seattle_Citywide,GEO1,09/13/2018 12:00:00 PM,09/13/2018 12:10:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,63,1,13,,,,,,,,5,1,2,0,0,0,0,0,0,0,,,,,,,,,,,,,
62,2018_Seattle_Citywide,GEO1,09/13/2018 12:10:00 PM,09/13/2018 12:20:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,63,2,21,12,,9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
63,2018_Seattle_Citywide,GEO1,09/13/2018 04:00:00 PM,09/13/2018 04:10:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,66,1,9,,,,,,,,7,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
64,2018_Seattle_Citywide,GEO1,09/13/2018 04:10:00 PM,09/13/2018 04:20:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,66,2,8,4,,4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
65,2018_Seattle_Citywide,MAG1,08/06/2018 08:20:00 AM,08/06/2018 08:30:00 AM,Weekday,Morning,UD4H,,Sun-Shaded,60,1,5,,,,,,,,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
66,2018_Seattle_Citywide,MAG1,08/06/2018 08:30:00 AM,08/06/2018 08:40:00 AM,Weekday,Morning,UD4H,,Sun-Shaded,60,2,3,3,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
67,2018_Seattle_Citywide,MAG1,08/06/2018 12:09:00 PM,08/06/2018 12:19:00 PM,Weekday,Midday,UD4H,,Sun-Shaded,74,1,11,,,,,,,,5,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
68,2018_Seattle_Citywide,MAG1,08/06/2018 12:19:00 PM,08/06/2018 12:29:00 PM,Weekday,Midday,UD4H,,Sun-Shaded,74,2,12,3,,9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
69,2018_Seattle_Citywide,MAG1,08/06/2018 04:01:00 PM,08/06/2018 04:11:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,85,1,14,,,,,,,,4,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
70,2018_Seattle_Citywide,MAG1,08/06/2018 04:11:00 PM,08/06/2018 04:21:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,85,2,7,5,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
71,2018_Seattle_Citywide,MAG1,08/10/2018 08:12:00 AM,08/10/2018 08:22:00 AM,Weekday,Morning,UD4H,,Sun-Shaded,65,1,8,,,,,,,,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
72,2018_Seattle_Citywide,MAG1,08/10/2018 08:23:00 AM,08/10/2018 08:33:00 AM,Weekday,Morning,UD4H,,Sun-Shaded,65,2,19,7,,11,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
73,2018_Seattle_Citywide,MAG1,08/10/2018 12:05:00 PM,08/10/2018 12:15:00 PM,Weekday,Midday,UD4H,,Sun-Shaded,74,1,14,,,,,,,,6,1,2,0,0,0,0,0,0,0,,,,,,,,,,,,,
74,2018_Seattle_Citywide,MAG1,08/10/2018 12:15:00 PM,08/10/2018 12:25:00 PM,Weekday,Midday,UD4H,,Sun-Shaded,74,2,11,6,,5,,0,,1,,,,,,,,,,,,,,,,,,,,,,,
75,2018_Seattle_Citywide,MAG1,08/10/2018 04:06:00 PM,08/10/2018 04:16:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,79,1,32,,,,,,,,17,6,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
76,2018_Seattle_Citywide,MAG1,08/10/2018 04:17:00 PM,08/10/2018 04:27:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,79,2,27,13,,13,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
77,2018_Seattle_Citywide,MAG1,08/11/2018 02:40:00 PM,08/11/2018 02:50:00 PM,Weekend,Midday,UD4H,,Sun-Shaded,71,1,20,,,,,,,,11,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
78,2018_Seattle_Citywide,MAG1,08/11/2018 02:50:00 PM,08/11/2018 03:00:00 PM,Weekend,Midday,UD4H,,Sun-Shaded,71,2,4,1,,3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
79,2018_Seattle_Citywide,MAG1,08/11/2018 05:02:00 PM,08/11/2018 05:12:00 PM,Weekend,Evening,UD4H,,Sun-Shaded,70,1,9,,,,,,,,2,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
80,2018_Seattle_Citywide,MAG1,08/11/2018 05:14:00 PM,08/11/2018 05:24:00 PM,Weekend,Evening,UD4H,,Sun-Shaded,70,2,11,4,,6,,1,,2,,,,,,,,,,,,,,,,,,,,,,,
81,2018_Seattle_Citywide,SLU4,07/19/2018 09:00:00 AM,07/19/2018 09:10:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,62,1,69,,,,,,,,58,2,1,1,0,0,0,0,0,0,,,,,,,,,,,,,
82,2018_Seattle_Citywide,SLU4,07/19/2018 09:10:00 AM,07/19/2018 09:20:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,62,2,62,41,,21,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
83,2018_Seattle_Citywide,SLU4,07/19/2018 01:00:00 PM,07/19/2018 01:10:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,67,1,105,,,,,,,,70,10,3,0,0,1,0,0,0,0,,,,,,,,,,,,,
84,2018_Seattle_Citywide,SLU4,07/19/2018 01:10:00 PM,07/19/2018 01:20:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,67,2,94,66,,28,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
85,2018_Seattle_Citywide,SLU4,07/19/2018 04:58:00 PM,07/19/2018 05:08:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,73,1,94,,,,,,,,74,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
86,2018_Seattle_Citywide,SLU4,07/19/2018 05:09:00 PM,07/19/2018 05:19:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,73,2,114,73,,41,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
87,2018_Seattle_Citywide,SLU4,07/20/2018 12:53:00 PM,07/20/2018 01:03:00 PM,Weekday,Midday,UD4H,event:commercial_event,Sun-Shaded,70,1,128,,,,,,,,60,19,4,2,0,0,0,0,0,1,,,,,,,,,,,,,
88,2018_Seattle_Citywide,SLU4,07/20/2018 01:04:00 PM,07/20/2018 01:14:00 PM,Weekday,Midday,UD4H,event:commercial_event,Sun-Shaded,70,2,106,64,,42,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
89,2018_Seattle_Citywide,SLU4,07/20/2018 05:00:00 PM,07/20/2018 05:10:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,72,1,93,,,,,,,,64,7,1,3,0,0,0,0,0,0,,,,,,,,,,,,,
90,2018_Seattle_Citywide,SLU4,07/20/2018 05:10:00 PM,07/20/2018 05:20:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,72,2,84,52,,32,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
91,2018_Seattle_Citywide,SLU4,07/21/2018 01:00:00 PM,07/21/2018 01:10:00 PM,Weekend,Midday,UD4H,,Sun-Shaded,71,1,21,,,,,,,,10,2,1,1,0,0,0,0,0,0,,,,,,,,,,,,,
92,2018_Seattle_Citywide,SLU4,07/21/2018 01:11:00 PM,07/21/2018 01:21:00 PM,Weekend,Midday,UD4H,,Sun-Shaded,71,2,31,20,,10,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
93,2018_Seattle_Citywide,SLU4,07/21/2018 04:57:00 PM,07/21/2018 05:07:00 PM,Weekend,Evening,UD4H,,Sun-Shaded,76,1,17,,,,,,,,11,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
94,2018_Seattle_Citywide,SLU4,07/21/2018 05:07:00 PM,07/21/2018 05:17:00 PM,Weekend,Evening,UD4H,,Sun-Shaded,76,2,19,14,,5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
95,2018_Seattle_Citywide,SLU4,07/25/2018 09:00:00 AM,07/25/2018 09:10:00 AM,Weekday,Morning,UD4H,,Sun-Shaded,69,1,71,,,,,,,,65,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
96,2018_Seattle_Citywide,SLU4,07/25/2018 09:11:00 AM,07/25/2018 09:21:00 AM,Weekday,Morning,UD4H,,Sun-Shaded,69,2,79,43,,36,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
97,2018_Seattle_Citywide,UQA1,08/06/2018 08:46:00 AM,08/06/2018 08:56:00 AM,Weekday,Morning,UD4H,,Sun-Exposed,65,1,13,,,,,,,,7,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
98,2018_Seattle_Citywide,UQA1,08/06/2018 08:56:00 AM,08/06/2018 09:06:00 AM,Weekday,Morning,UD4H,,Sun-Exposed,65,2,8,2,,6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
99,2018_Seattle_Citywide,UQA1,08/06/2018 12:26:00 PM,08/06/2018 12:36:00 PM,Weekday,Midday,UD4H,,Sun-Shaded,73,1,38,,,,,,,,14,6,0,3,0,0,0,0,0,0,,,,,,,,,,,,,
100,2018_Seattle_Citywide,UQA1,08/06/2018 12:39:00 PM,08/06/2018 12:49:00 PM,Weekday,Midday,UD4H,,Sun-Shaded,73,2,12,5,,7,,0,,1,,,,,,,,,,,,,,,,,,,,,,,
101,2018_Seattle_Citywide,UQA1,08/06/2018 04:08:00 PM,08/06/2018 04:18:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,83,1,14,,,,,,,,10,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
102,2018_Seattle_Citywide,UQA1,08/06/2018 04:19:00 PM,08/06/2018 04:29:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,83,2,20,8,,11,,1,,3,,,,,,,,,,,,,,,,,,,,,,,
103,2018_Seattle_Citywide,UQA1,08/11/2018 11:34:00 AM,08/11/2018 11:44:00 AM,Weekend,Midday,UD4H,,Light Clouds,69,1,36,,,,,,,,10,6,3,0,1,0,0,0,0,0,,,,,,,,,,,,,
104,2018_Seattle_Citywide,UQA1,08/11/2018 11:44:00 AM,08/11/2018 11:54:00 AM,Weekend,Midday,UD4H,,Light Clouds,69,2,22,8,,14,,0,,1,,,,,,,,,,,,,,,,,,,,,,,
105,2018_Seattle_Citywide,UQA1,08/04/2018 04:30:00 PM,08/04/2018 04:40:00 PM,Weekend,Evening,UD4H,,Sun-Shaded,75,1,21,,,,,,,,4,5,1,1,0,0,0,0,0,0,,,,,,,,,,,,,
106,2018_Seattle_Citywide,UQA1,08/04/2018 04:42:00 PM,08/04/2018 04:52:00 PM,Weekend,Evening,UD4H,,Sun-Shaded,75,2,11,6,,5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
107,2018_Seattle_Citywide,UQA1,08/07/2018 08:57:00 AM,08/07/2018 09:07:00 AM,Weekday,Morning,UD4H,,Sun-Exposed,71,1,17,,,,,,,,11,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
108,2018_Seattle_Citywide,UQA1,08/07/2018 09:57:00 AM,08/07/2018 10:07:00 AM,Weekday,Morning,UD4H,,Sun-Exposed,71,2,10,5,,5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
109,2018_Seattle_Citywide,UQA1,08/07/2018 12:19:00 PM,08/07/2018 12:29:00 PM,Weekday,Midday,UD4H,,Sun-Shaded,78,1,28,,,,,,,,14,2,2,1,0,0,0,0,0,0,,,,,,,,,,,,,
110,2018_Seattle_Citywide,UQA1,08/07/2018 12:30:00 PM,08/07/2018 12:40:00 PM,Weekday,Midday,UD4H,,Sun-Shaded,78,2,18,4,,14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
111,2018_Seattle_Citywide,UQA1,08/07/2018 04:27:00 PM,08/07/2018 04:37:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,86,1,8,,,,,,,,4,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
112,2018_Seattle_Citywide,UQA1,08/07/2018 04:37:00 PM,08/07/2018 04:47:00 PM,Weekday,Evening,UD4H,,Sun-Shaded,86,2,28,8,,20,,0,,1,,,,,,,,,,,,,,,,,,,,,,,
113,2018_Seattle_Citywide,PIK3,07/23/2018 08:20:00 AM,07/23/2018 08:30:00 AM,Weekday,Morning,UD4H,,Sun-Exposed,68,1,36,,,,,,,,31,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
114,2018_Seattle_Citywide,PIK3,07/23/2018 08:30:00 AM,07/23/2018 08:40:00 AM,Weekday,Morning,UD4H,,Sun-Exposed,68,2,18,7,,11,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
